,load,day,hour,GFS_temp,NAM_temp,GFS_hum,NAM_dew,load_t_72,load_t_78,load_t_84,load_t_90
244,192.596,56,10,273.205,285.81426666666675,49.019444444444446,285.2448266666667,272.061,417.055,355.485,314.788
245,200.007,56,11,272.69083333333333,285.5560666666667,51.26388888888889,285.0366433333333,295.711,350.961,422.459,304.981
246,226.612,56,12,272.1766666666667,285.4245333333333,53.50833333333333,284.93174666666664,349.343,305.9790000000001,489.296,305.393
247,253.401,56,13,272.6844444444446,285.52080000000007,51.34444444444444,284.9787833333333,376.474,278.629,501.509,299.843
248,289.155,56,14,273.1922222222221,285.61539,49.180555555555564,284.95792666666665,343.352,269.116,500.816,305.082
249,307.683,56,15,273.7,285.73203000000007,47.01666666666667,284.84873666666664,320.923,267.469,470.84,315.592
250,314.001,56,16,275.93333333333334,286.05425333333346,41.047222222222224,284.8232866666668,299.021,272.061,417.055,355.485
251,325.6620000000001,56,17,278.1666666666667,286.6241833333333,35.077777777777776,285.0376166666667,286.308,295.711,350.961,422.459
252,325.9,56,18,280.40000000000003,287.2032033333333,29.108333333333334,285.27111999999994,283.62,349.343,305.9790000000001,489.296
253,317.197,56,19,281.98611111111103,287.26569000000006,26.130555555555556,285.27831999999995,280.506,376.474,278.629,501.509
254,310.5440000000001,56,20,283.57222222222225,287.08612,23.152777777777775,285.3367533333333,282.648,343.352,269.116,500.816
255,310.403,56,21,285.15833333333336,286.6391366666668,20.175,285.34227333333337,292.5420000000001,320.923,267.469,470.84
256,327.217,56,22,285.0880555555556,285.96709999999996,20.511111111111116,285.1768200000001,323.893,299.021,272.061,417.055
257,368.102,56,23,285.0177777777778,285.27102999999994,20.847222222222218,284.76740000000007,382.32,286.308,295.711,350.961
258,401.594,57,0,284.9475,284.83214333333336,21.183333333333337,284.3772333333334,451.837,283.62,349.343,305.9790000000001
259,394.46,57,1,283.5741666666666,284.61504999999994,24.516666666666655,284.19186666666667,466.384,280.506,376.474,278.629
260,378.75,57,2,282.20083333333343,284.64021333333335,27.85000000000001,284.26165,467.08,282.648,343.352,269.116
261,361.906,57,3,280.8275,284.64974333333333,31.183333333333337,284.2104800000001,441.519,292.5420000000001,320.923,267.469
262,321.129,57,4,280.3697222222223,283.10301666666663,35.588888888888896,281.91486000000003,392.918,323.893,299.021,272.061
263,276.17400000000004,57,5,279.9119444444444,279.72069999999997,39.99444444444444,276.4524433333334,329.415,382.32,286.308,295.711
264,243.229,57,6,278.48,277.98889,46.64166666666667,276.1880866666667,287.314,451.837,283.62,349.343
265,224.151,57,7,278.3872222222222,277.5933800000001,50.30555555555555,274.6022666666666,260.636,466.384,280.506,376.474
266,210.986,57,8,278.2944444444444,276.48259999999993,53.96944444444444,273.15317666666675,251.133,467.08,282.648,343.352
267,207.702,57,9,278.2016666666667,275.31012000000004,57.63333333333333,271.6684599999999,250.376,441.519,292.5420000000001,320.923
268,208.816,57,10,278.01499999999993,274.4443833333333,56.55555555555555,270.5556000000001,255.415,392.918,323.893,299.021
269,215.331,57,11,277.82833333333343,273.71341666666666,55.47777777777778,269.40016333333324,280.769,329.415,382.32,286.308
270,234.799,57,12,277.6416666666667,273.09505333333334,54.4,267.9939,331.112,287.314,451.837,283.62
271,269.181,57,13,278.75833333333327,272.9382166666666,46.072222222222216,267.0601666666667,355.839,260.636,466.384,280.506
272,289.243,57,14,279.87500000000006,273.3723833333333,37.74444444444445,266.81237999999996,319.006,251.133,467.08,282.648
273,304.848,57,15,280.9916666666667,273.94171666666676,29.41666666666666,266.94781000000006,298.863,250.376,441.519,292.5420000000001
274,310.184,57,16,283.1833333333334,274.51384999999993,24.60833333333333,267.06491666666676,285.38,255.415,392.918,323.893
275,308.218,57,17,285.37499999999994,275.08956333333333,19.800000000000008,267.09145333333333,278.913,280.769,329.415,382.32
